id,type,district,lon,lat,level
N_1360,junction,สายไหม,100.68974,13.93104,-1
N_1361,junction,คลองสามวา,100.7446,13.83342,-1
N_1362,junction,คลองสามวา,100.73384,13.85088,-1
N_1363,junction,มีนบุรี,100.74922,13.82196,-1
N_1364,junction,คลองสามวา,100.77526,13.83621,-1
N_1365,junction,คลองสามวา,100.76241,13.90408,-1
N_1366,junction,ตลิ่งชัน,100.46149,13.75253,-1
N_1367,junction,ตลิ่งชัน,100.44917,13.75029,-1
N_1368,junction,พระนคร,100.50015,13.76278,-1
N_1369,junction,พระนคร,100.49972,13.76198,-1
N_137,junction,ราษฎร์บูรณะ,100.49685,13.68371,-1
N_1370,junction,วังทองหลาง,100.5947,13.76413,-1
N_1371,junction,วังทองหลาง,100.60735,13.75406,-1
N_1372,junction,จอมทอง,100.48379,13.6805,-1
N_1373,junction,จอมทอง,100.48108,13.68239,-1
N_1374,junction,บางกอกน้อย,100.47592,13.76522,-1
N_1375,junction,บางกอกน้อย,100.48339,13.77113,-1
N_1376,junction,บางพลัด,100.48441,13.77254,-1
N_1377,junction,บางพลัด,100.48373,13.77156,-1
N_1378,junction,บางขุนเทียน,100.40471,13.51722,-1
N_1379,junction,บางขุนเทียน,100.4466,13.54093,-1
N_138,junction,ราษฎร์บูรณะ,100.49213,13.68563,-1
N_1380,junction,บางบอน,100.37211,13.63713,-1
N_1381,junction,บางบอน,100.38011,13.62304,-1
N_1382,junction,ธนบุรี,100.48351,13.71998,-1
N_1383,junction,ธนบุรี,100.48636,13.72131,-1
N_1384,junction,ธนบุรี,100.48386,13.71935,-1
N_1385,junction,ธนบุรี,100.48494,13.71988,-1
N_1386,junction,บางเขน,100.61232,13.85659,-1
N_1387,junction,ตลิ่งชัน,100.4465,13.74485,-1
N_1388,junction,ตลิ่งชัน,100.44687,13.74867,-1
N_1389,junction,ธนบุรี,100.49005,13.72115,-1
N_139,junction,ภาษีเจริญ,100.44743,13.72672,-1
N_1390,junction,ธนบุรี,100.48412,13.71892,-1
N_1391,junction,ธนบุรี,100.48443,13.71843,-1
N_1392,junction,ธนบุรี,100.4859,13.71892,-1
N_1393,junction,ภาษีเจริญ,100.47047,13.72302,-1
N_1394,junction,ภาษีเจริญ,100.4262,13.70732,-1
N_1395,junction,ดุสิต,100.50358,13.78335,-1
N_1396,junction,ดุสิต,100.50667,13.782,-1
N_1397,junction,ทวีวัฒนา,100.38312,13.79143,-1
N_1398,junction,ทวีวัฒนา,100.40482,13.80163,-1
N_1399,junction,หนองแขม,100.33604,13.67695,-1
N_14,junction,ทุ่งครุ,100.51382,13.60261,-1
N_140,junction,ภาษีเจริญ,100.44194,13.72951,-1
N_1400,junction,สะพานสูง,100.69775,13.76176,-1
N_1401,junction,ประเวศ,100.70831,13.73244,-1
N_1402,junction,บางพลัด,100.50495,13.80099,-1
N_1403,junction,บางพลัด,100.5143,13.79591,-1
N_1404,junction,จอมทอง,100.46908,13.6636,-1
N_1405,junction,จอมทอง,100.47552,13.66366,-1
N_1406,junction,ยานนาวา,100.55196,13.68058,-1
N_1407,junction,ยานนาวา,100.53916,13.6854,-1
N_1408,junction,ทวีวัฒนา,100.39339,13.75143,-1
N_1409,junction,ทวีวัฒนา,100.39344,13.75273,-1
N_141,junction,บางแค,100.4044,13.74111,-1
N_1410,junction,ป้อมปราบศัตรูพ่าย,100.5174,13.75307,-1
N_1411,junction,ป้อมปราบศัตรูพ่าย,100.50604,13.75548,-1
N_1412,junction,ภาษีเจริญ,100.4436,13.72022,-1
N_1413,junction,ภาษีเจริญ,100.43996,13.72467,-1
N_1414,junction,ทวีวัฒนา,100.39281,13.75152,-1
N_1415,junction,จอมทอง,100.4648,13.66645,-1
N_1416,junction,จอมทอง,100.46835,13.66697,-1
N_1417,junction,หนองแขม,100.33913,13.7364,-1
N_1418,junction,หนองแขม,100.35052,13.68135,-1
N_1419,junction,บางพลัด,100.50234,13.79269,-1
N_142,junction,บางแค,100.40263,13.73764,-1
N_1420,junction,บางพลัด,100.50414,13.79503,-1
N_1421,junction,บางกอกใหญ่,100.4882,13.74846,-1
