quality_issue_fact_key,district_key,issue_type,severity,entity_type,entity_id,source_layer,source_path,spatial_hash_geohash7,polygon_district_code,review_status,requires_manual_review
e7032b4851cbc327961843691afdce06d1156855974e61ebd9b6f0292ea421bd,1021,unresolved_asset_owner,high,drainage_asset,canals:5509,canals,data/geojson/canals.geojson,w4rmqk6,,unresolved,1
dc9fa5d1bbf29c988b9282aeaa1492d97de4c06ac6eb76e5d9c4a572a5d37bf0,1021,unresolved_asset_owner,high,drainage_asset,canals:5510,canals,data/geojson/canals.geojson,w4rmqk1,,unresolved,1
3ac4b2f198920f3d0d6d09276b4b62fba5ad728d2664e36a32ace82ea402a35d,1021,unresolved_asset_owner,high,drainage_asset,canals:5511,canals,data/geojson/canals.geojson,w4rmqmm,,unresolved,1
5f5a3a37d2d16447480794effb6203243d1c172729dae364317b171c4cbb2847,1021,unresolved_asset_owner,high,drainage_asset,canals:5512,canals,data/geojson/canals.geojson,w4rmqmq,,unresolved,1
e18634e30cc2f879c2adc6f1fd9575380a75ebd44a7fc40ba4420f43badad8da,1021,unresolved_asset_owner,high,drainage_asset,canals:5513,canals,data/geojson/canals.geojson,w4rmqmw,,unresolved,1
4073096072ef7c94178e02fbe92f2898200094650daa653c6c2833196e442e01,1021,unresolved_asset_owner,high,drainage_asset,canals:5518,canals,data/geojson/canals.geojson,w4rmqn5,,unresolved,1
d8ba7e7b13e111c069cd4025705b57b7bc04c9be421bedf0c568ba750a1d6348,1021,unresolved_asset_owner,high,drainage_asset,canals:5522,canals,data/geojson/canals.geojson,w4rmqqt,,unresolved,1
7de85b970b164e6e872c303c74367ba2dc0783283f2f8674976f62d038b3af0f,1021,unresolved_asset_owner,high,drainage_asset,canals:5523,canals,data/geojson/canals.geojson,w4rmqn7,,unresolved,1
9987921db957b75a8f60881ed8d61f2df8278a6ecbedf1b063edc504ec680f22,1021,unresolved_asset_owner,high,drainage_asset,canals:5524,canals,data/geojson/canals.geojson,w4rmqq9,,unresolved,1
d49ce2361f42f6c5af6494e1a1dcc551578bab0b62b9c54b8b8bfc7e1a4aafff,1021,unresolved_asset_owner,high,drainage_asset,canals:5525,canals,data/geojson/canals.geojson,w4rmqr4,,unresolved,1
d83cd496b8cbdbef95fbcb3946af593886ba45a2f38cfcd140f42a91625907fa,1021,unresolved_asset_owner,high,drainage_asset,canals:5526,canals,data/geojson/canals.geojson,w4rmqny,,unresolved,1
310bd8a6829d88acf2d1d8ec1b4f70e23452b101ba0c3469f5409617ebeca859,1021,unresolved_asset_owner,high,drainage_asset,canals:5527,canals,data/geojson/canals.geojson,w4rmqnr,,unresolved,1
060983eced80e49513add60236ba0d91745e42e664cb471104e1e61dea1bbe1a,1021,unresolved_asset_owner,high,drainage_asset,canals:5528,canals,data/geojson/canals.geojson,w4rmqqb,,unresolved,1
a600154c2e3970461e2d3b89c296191241c96d856797d46c6f83337e5c7bc166,1021,unresolved_asset_owner,high,drainage_asset,canals:5557,canals,data/geojson/canals.geojson,w4rmtfh,,unresolved,1
788ce31bde1ac23ce1dd523a74ef77768118462ddbb87d071741ffa88b0dab78,1021,unresolved_asset_owner,high,drainage_asset,canals:5558,canals,data/geojson/canals.geojson,w4rmtfp,,unresolved,1
5db96621be3c86ef8cc4bdc43a00ac7867f3a6a8fc115d514bd27709c6a3dabe,1021,unresolved_asset_owner,high,drainage_asset,canals:5559,canals,data/geojson/canals.geojson,w4rmw4k,,unresolved,1
e86f88e9b760e6ae45ddd237b64764bd1e2050ce99d8048fcbfe2eaaaaf2a295,1021,unresolved_asset_owner,high,drainage_asset,canals:5560,canals,data/geojson/canals.geojson,w4rmw40,,unresolved,1
b0da88944d6297be7935313859fe8c4466b2c9a9ac06b959137ca9e7f2a04c86,1021,unresolved_asset_owner,high,drainage_asset,canals:5561,canals,data/geojson/canals.geojson,w4rmw42,,unresolved,1
708b67eb83af5b379f6c762b8b24069e57d8bfacb4ebe4ba55a7f4070c0c7a43,1021,unresolved_asset_owner,high,drainage_asset,canals:5562,canals,data/geojson/canals.geojson,w4rmtfr,,unresolved,1
